DataSeries,year_month,arrivals
North East Asia,2021-11,22893
Mainland China,2021-11,6947
Hong Kong,2021-11,2726
Japan,2021-11,4181
South Asia,2021-11,23156
Middle East,2021-11,7839
Oceania,2021-11,21376
Germany,2021-11,8693
Europe,2021-11,41448
France,2021-11,4612
United Kingdom,2021-11,13360
North America,2021-11,9730
Number Of Air Passenger Arrivals,2021-10,120883
South East Asia,2021-10,35775
Vietnam,2021-10,2707
Indonesia,2021-10,5881
Other Regions,2021-10,827
Malaysia,2021-10,10423
Philippines,2021-10,7597
Thailand,2021-10,4103
North East Asia,2021-10,25741
Mainland China,2021-10,9707
Hong Kong,2021-10,2562
Japan,2021-10,4789
South Asia,2021-10,6456
Middle East,2021-10,6369
Oceania,2021-10,9425
Germany,2021-10,8755
Europe,2021-10,30978
France,2021-10,3713
United Kingdom,2021-10,7928
North America,2021-10,5312
Number Of Air Passenger Arrivals,2021-09,103831
South East Asia,2021-09,28288
Vietnam,2021-09,1990
Indonesia,2021-09,1511
Other Regions,2021-09,812
Malaysia,2021-09,11540
Philippines,2021-09,2708
Thailand,2021-09,6522
North East Asia,2021-09,32313
Mainland China,2021-09,14268
Hong Kong,2021-09,4728
Japan,2021-09,4109
South Asia,2021-09,3533
Middle East,2021-09,4373
Oceania,2021-09,9271
Germany,2021-09,4780
Europe,2021-09,20527
France,2021-09,2456
United Kingdom,2021-09,5701
North America,2021-09,4714
Number Of Air Passenger Arrivals,2021-08,98300
South East Asia,2021-08,28902
Vietnam,2021-08,2836
Indonesia,2021-08,346
Other Regions,2021-08,1054
Malaysia,2021-08,10720
Philippines,2021-08,6951
Thailand,2021-08,3969
North East Asia,2021-08,29501
Mainland China,2021-08,16425
Hong Kong,2021-08,3202
Japan,2021-08,3344
South Asia,2021-08,2249
Middle East,2021-08,4406
Oceania,2021-08,11250
Germany,2021-08,2462
Europe,2021-08,17148
France,2021-08,3033
United Kingdom,2021-08,5015
North America,2021-08,3790
Number Of Air Passenger Arrivals,2021-07,96367
South East Asia,2021-07,29848
Vietnam,2021-07,2738
Indonesia,2021-07,3964
Other Regions,2021-07,821
Malaysia,2021-07,7937
Philippines,2021-07,6840
Thailand,2021-07,3012
North East Asia,2021-07,28260
Mainland China,2021-07,17364
Hong Kong,2021-07,2858
Japan,2021-07,2639
South Asia,2021-07,2168
Middle East,2021-07,4151
Oceania,2021-07,12944
Germany,2021-07,1960
Europe,2021-07,14519
France,2021-07,1609
United Kingdom,2021-07,5472
North America,2021-07,3656
Number Of Air Passenger Arrivals,2021-06,76387
South East Asia,2021-06,30651
Vietnam,2021-06,2781
Indonesia,2021-06,7509
Other Regions,2021-06,772
Malaysia,2021-06,5187
Philippines,2021-06,7024
Thailand,2021-06,2670
North East Asia,2021-06,18250
Mainland China,2021-06,11069
Hong Kong,2021-06,1971
Japan,2021-06,1951
South Asia,2021-06,1338
Middle East,2021-06,2944
Oceania,2021-06,9821
Germany,2021-06,963
Europe,2021-06,9695
France,2021-06,955
United Kingdom,2021-06,4075
North America,2021-06,2916
Number Of Air Passenger Arrivals,2021-05,74145
South East Asia,2021-05,30321
Vietnam,2021-05,2118
Indonesia,2021-05,6842
Other Regions,2021-05,596
Malaysia,2021-05,6748
Philippines,2021-05,6957
Thailand,2021-05,2423
North East Asia,2021-05,18812
Mainland China,2021-05,11415
Hong Kong,2021-05,2072
