jet_fuel_usd_per_gallon,fuel_lag1,fuel_lag2,fuel_lag3,fuel_change_3m,fuel_change_6m,fuel_volatility_6m,gdp_per_capita,gdp_yoy_change,lcc_share,month,quarter,is_peak_season,log_arrivals_diff,country,year_month
1.7025,1.972,2.25975,2.18925,-22.233641658102087,-18.843550386118814,0.19833908254973018,3860.95353090726,1.6339083063448445,0.7096774193548387,12,4,1,0.1739971239652256,Indonesia,2018-12-01
1.762,1.7025,1.972,2.25975,-22.026772873105426,-15.915056072536382,0.22940873276026125,4106.94856160358,6.371354348792568,0.7096774193548387,1,1,0,-0.1837756115392341,Indonesia,2019-01-01
1.89425,1.762,1.7025,1.972,-3.942697768762682,-10.56421152030217,0.22464101454691918,4106.94856160358,6.371354348792568,0.7096774193548387,2,1,0,-0.0670532442656259,Indonesia,2019-02-01
1.9072,1.89425,1.762,1.7025,12.023494860499273,-12.883407559666548,0.19552408206323182,4106.94856160358,6.371354348792568,0.7096774193548387,3,1,0,0.1608374557774077,Indonesia,2019-03-01
1.97725,1.9072,1.89425,1.762,12.21623155505107,-12.501382896338086,0.11277843322197294,4106.94856160358,6.371354348792568,0.7096774193548387,4,2,0,-0.033273870574483,Indonesia,2019-04-01
1.9724,1.97725,1.9072,1.89425,4.1256433944832915,0.020283975659229903,0.112851449555022,4106.94856160358,6.371354348792568,0.7096774193548387,5,2,0,-0.0113122097559816,Indonesia,2019-05-01
1.81675,1.9724,1.97725,1.9072,-4.742554530201337,6.710719530102804,0.08537987711791088,4106.94856160358,6.371354348792568,0.7096774193548387,6,2,1,0.0800602239299248,Indonesia,2019-06-01
1.90975,1.81675,1.9724,1.97725,-3.4138323429004913,8.385357548240634,0.05884933871055336,4106.94856160358,6.371354348792568,0.7096774193548387,7,3,1,0.0619882767961801,Indonesia,2019-07-01
1.8168,1.90975,1.81675,1.9724,-7.888866355708779,-4.088689454929395,0.07100566702737775,4106.94856160358,6.371354348792568,0.7096774193548387,8,3,1,-0.0363633924023005,Indonesia,2019-08-01
1.875,1.8168,1.90975,1.81675,3.2062749415164404,-1.688338926174493,0.07156952854860464,4106.94856160358,6.371354348792568,0.7096774193548387,9,3,0,-0.0091196567029623,Indonesia,2019-09-01
1.864,1.875,1.8168,1.90975,-2.3956015185233603,-5.727652041977482,0.0593160068334816,4106.94856160358,6.371354348792568,0.7096774193548387,10,4,0,0.0063555582579368,Indonesia,2019-10-01
1.8276,1.864,1.875,1.8168,0.5944517833553542,-7.341310079091468,0.0376411742644023,4106.94856160358,6.371354348792568,0.7096774193548387,11,4,0,-0.047775404280328,Indonesia,2019-11-01
1.88675,1.8276,1.864,1.875,0.6266666666666643,3.8530342644832682,0.03544467049740633,4106.94856160358,6.371354348792568,0.7096774193548387,12,4,1,0.1065395148268386,Indonesia,2019-12-01
1.7887999999999995,1.88675,1.8276,1.864,-4.034334763948532,-6.333289697604427,0.03805299484495045,3853.70288774146,-6.166273330758221,0.7096774193548387,1,1,0,-0.1441700848080493,Indonesia,2020-01-01
1.51275,1.7887999999999995,1.88675,1.8276,-17.22751149047931,-16.735468956406862,0.14163849994500108,3853.70288774146,-6.166273330758221,0.7096774193548387,2,1,0,-0.52149173763428,Indonesia,2020-02-01
3.69025,3.2976,3.30925,3.5507999999999997,3.9272839923397473,-5.0861625514403315,0.33234142597133354,4730.83484836107,15.190993444385636,0.7096774193548387,10,4,0,0.0652269438660066,Indonesia,2022-10-01
3.25575,3.69025,3.2976,3.30925,-1.6166805167334042,-16.64746543778802,0.33740783136533764,4730.83484836107,15.190993444385636,0.7096774193548387,11,4,0,0.0332579701490978,Indonesia,2022-11-01
2.9064,3.25575,3.69025,3.2976,-11.863173216885004,-29.707962996553604,0.2701157333749024,4730.83484836107,15.190993444385636,0.7096774193548387,12,4,1,0.1959887636037898,Indonesia,2022-12-01
3.52725,2.9064,3.25575,3.69025,-4.4170449156561205,-0.6632308212233817,0.26649987929952507,4876.30774512252,18.73310980107672,0.7096774193548387,1,1,0,-0.0880608596629652,Indonesia,2023-01-01
2.84025,3.52725,2.9064,3.25575,-12.762036397143506,-14.17239555790587,0.334332597373726,4876.30774512252,26.535643436185552,0.7096774193548387,2,1,0,-0.0973139221987615,Indonesia,2023-02-01
2.706,2.84025,3.52725,2.9064,-6.89512799339389,-17.940320232896656,0.39941980630241997,4876.30774512252,26.535643436185552,0.7096774193548387,3,1,0,0.1642965765645989,Indonesia,2023-03-01
2.38375,2.706,2.84025,3.52725,-32.41902331844921,-35.4041054129124,0.4049046760246964,4876.30774512252,3.0749941907578293,0.7096774193548387,4,2,0,0.033949501193387,Indonesia,2023-04-01
2.18,2.38375,2.706,2.84025,-23.24619311680309,-33.04154188742993,0.4684828905627173,4876.30774512252,3.0749941907578293,0.7096774193548387,5,2,0,0.117976459786794,Indonesia,2023-05-01
2.2352,2.18,2.38375,2.706,-17.398373983739845,-23.093861822185524,0.50450376154858,4876.30774512252,3.0749941907578293,0.7096774193548387,6,2,1,0.0780541347911931,Indonesia,2023-06-01
